DATE,RIELPCFANNM
2014-07-01,4.68
2014-10-01,4.82
2015-01-01,5.19
2015-04-01,5.38
2015-07-01,4.92
2015-10-01,5.03
2016-01-01,5.25
2016-04-01,5.04
2016-07-01,4.98
2016-10-01,4.94
2017-01-01,5.1
2017-04-01,5.61
2017-07-01,5.44
2017-10-01,5.29
2018-01-01,5.24
2018-04-01,6.16
2018-07-01,6.43
2018-10-01,6.7
2019-01-01,6.48
2019-04-01,6.68
2019-07-01,6.37
2019-10-01,6.11
2020-01-01,6.13
2020-04-01,4.8
2020-07-01,4.98
2020-10-01,5.07
2021-01-01,4.79
2021-04-01,4.86
2021-07-01,4.54
2021-10-01,4.37
2022-01-01,4.41
2022-04-01,4.98
2022-07-01,5.47
2022-10-01,6.07
2023-01-01,6.41
2023-04-01,6.6
2023-07-01,6.73
2023-10-01,6.98
,
,
