Year,Population
2014-07-01,317758058
2014-10-01,318386329
2015-01-01,318387509
2015-04-01,318968455
2015-07-01,319549401
2015-10-01,320738994
2016-01-01,320740755
2016-04-01,321321701
2016-07-01,321902647
2016-10-01,323071755
2017-01-01,323603647
2017-04-01,324184593
2017-07-01,324765539
2017-10-01,325122128
2018-01-01,325374418
2018-04-01,325955364
2018-07-01,326536310
2018-10-01,326838199
2019-01-01,326820171
2019-04-01,327401117
2019-07-01,327982063
2019-10-01,328329953
2020-01-01,328989808
2020-04-01,329570754
2020-07-01,330151700
2020-10-01,331526933
2021-01-01,329585196
2021-04-01,330166142
2021-07-01,330747088
2021-10-01,332048977
2022-01-01,330507630
2022-04-01,331088576
2022-07-01,331669522
2022-10-01,333271411
2023-01-01,331628340
2023-04-01,332209286
2023-07-01,332790232
2023-10-01,334914895
